name,age,email,password,id_card,score
tinparnus paputpamsiri,14,tinparnus@gmail.com,1234,Xckmmi43,40
terakan marktong,14,terakan@gmail.com,4532,Xckmni32,40
Халтмаагийн Ганбаатар,14,Халтмаагийн@gmail.com,3321,Xxknmi54,40
prasert wongtong,40,prasert@gmail.com,3321,Xxknmi12,39
wong ti,15,Xaio@gmail.com,1289,XXknmi45,40
timmy wong,13,Wong@gmail.com,1321,Xmlni44,40
yang cu,14,cu@gmail.com,1331,Xmlno11,30
yakub oska,20,oska@gmail.com,3321,XXkno90,20
sihida makuya,29,nakimov@gmail.com,3324,XXknmi49,13
alexi nakimov,19,nakimov@gmail.com,3322,XXkno91,13
timmy osaka,18,osaka@gmail.com,3311,Xkmno30,29
Nadia oblas,14,Nadia@gmail.com,3120,Xkmn20,20
lalia slavac,16,slavac@gmail.com,3201,Xomn30,19
nakimov osku,18,
